symbol;available_exchanges;currency_base;currency_quote
"CRV/USD";"[""Binance"",""Huobi""]";"Curve DAO Token";"US Dollar"
"CRW/BTC";"[""Bittrex"",""YoBit""]";"Crown";"Bitcoin"
"CRW/USD";"[""Synthetic""]";"Crown";"US Dollar"
"CRX/USD";"[""Synthetic""]";"Chronos";"US Dollar"
"CS/BTC";"[""Kucoin""]";"Credits";"Bitcoin"
"CS/ETH";"[""CoinTiger"",""Kucoin""]";"Credits";"Ethereum"
"CSNO/USD";"[""Synthetic""]";"BitDice";"US Dollar"
"CSPR/USD";"[""Gate.io"",""Huobi""]";"Casper";"US Dollar"
"CS/USD";"[""Synthetic""]";"Credits";"US Dollar"
"CTIC2/BTC";"[""YoBit""]";"Coimatic 2.0";"Bitcoin"
"CTIC2/USD";"[""Synthetic""]";"Coimatic 2.0";"US Dollar"
"CTIC3/USD";"[""Synthetic""]";"Coimatic 3.0";"US Dollar"
"CTSI/BNB";"[""Binance""]";"Cartesi";"Binance Coin"
"CTSI/BTC";"[""Binance""]";"Cartesi";"Bitcoin"
"CTSI/USD";"[""Binance""]";"Cartesi";"US Dollar"
"CTXC/BTC";"[""CoinEx"",""Huobi""]";"Cortex";"Bitcoin"
"CTXC/ETH";"[""CoinTiger"",""Huobi""]";"Cortex";"Ethereum"
"CTXC/USD";"[""Binance"",""Huobi""]";"Cortex";"US Dollar"
"CTX/USD";"[""Synthetic""]";"CarTaxi Token";"US Dollar"
"CURE/BTC";"[""Bittrex""]";"Curecoin";"Bitcoin"
"CURE/USD";"[""Synthetic""]";"Curecoin";"US Dollar"
"CV2/USD";"[""Synthetic""]";"Colossuscoin V2";"US Dollar"
"CV/BTC";"[""Kucoin""]";"carVertical";"Bitcoin"
"CVC/BTC";"[""Binance"",""OKEx""]";"Civic";"Bitcoin"
"CVC/ETH";"[""Binance"",""Bittrex"",""Gate.io"",""Huobi""]";"Civic";"Ethereum"
"CVC/KRW";"[""Upbit""]";"Civic";"Korean Won"
"CVC/THB";"[""Bitkub""]";"Civic";"Thai Baht"
"CVC/USD";"[""Binance"",""OKEx""]";"Civic";"US Dollar"
"CV/ETH";"[""Kucoin""]";"carVertical";"Ethereum"
"CVT/BTC";"[""Bit-Z"",""HitBTC""]";"CyberVein";"Bitcoin"
"CVT/ETH";"[""Bit-Z"",""HitBTC""]";"CyberVein";"Ethereum"
"CVT/INR";"[""Bitbns""]";"CyberVein";"Indian Rupee"
"CVT/USD";"[""HitBTC"",""Synthetic""]";"CyberVein";"US Dollar"
"CV/USD";"[""Synthetic""]";"carVertical";"US Dollar"
"CVX/BTC";"[""Binance""]";"Convex Finance";"Bitcoin"
"CVX/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Convex Finance";"US Dollar"
"CWXT/USD";"[""Synthetic""]";"CryptoWorldX Token";"US Dollar"
"CXT/BTC";"[""YoBit""]";"Coinonat";"Bitcoin"
"CXT/USD";"[""Synthetic""]";"Coinonat";"US Dollar"
"CYC/USD";"[""Synthetic""]";"Cycling Coin";"US Dollar"
"CYDER/USD";"[""Synthetic""]";"Cyder";"US Dollar"
"DAG/BTC";"[""Kucoin""]";"Constellation";"Bitcoin"
"DAG/ETH";"[""Kucoin""]";"Constellation";"Ethereum"
"DAG/USD";"[""Synthetic""]";"Constellation";"US Dollar"
"DAI/BTC";"[""Bittrex"",""Ethfinex""]";"Dai";"Bitcoin"
"DAI/CAD";"[""Synthetic""]";"Dai";"Canadian Dollar"
"DAI/ETH";"[""Bittrex"",""Ethfinex""]";"Dai";"Ethereum"
"DAI/USD";"[""Coinbase Pro"",""Ethfinex"",""Gate.io""]";"Dai";"US Dollar"
"DALC/BTC";"[""YoBit""]";"Dalecoin";"Bitcoin"
"DALC/USD";"[""Synthetic""]";"Dalecoin";"US Dollar"
"DARn/BNB";"[""Binance""]";"Mines of Dalarnia";"BNB"
"DARn/BTC";"[""Binance""]";"Mines of Dalarnia";"Bitcoin"
"DARn/USD";"[""Binance""]";"Mines of Dalarnia";"US Dollar"
"DASH/AUD";"[""Synthetic""]";"Dash";"Australian Dollar"
"DASH/BCH";"[""CoinEx"",""SouthXchange""]";"Dash";"Bitcoin Cash"
"DASH/BNB";"[""Binance""]";"Dash";"Binance Coin"
"DASH/BTC";"[""Binance"",""HitBTC"",""OKEx""]";"Dash";"Bitcoin"
"DASH/CAD";"[""Synthetic""]";"Dash";"Canadian Dollar"
"DASH/CNY";"[""Synthetic""]";"Dash";"Chinese Yuan"
"DASH/ETH";"[""HitBTC"",""p2pb2b""]";"Dash";"Ethereum"
"DASH/EUR";"[""CEX.IO"",""Kraken""]";"Dash";"Euro"
"DASHG/BTC";"[""Graviex""]";"Dash Green";"Bitcoin"
"DASHG/USD";"[""Synthetic""]";"Dash Green";"US Dollar"
"DASH/HKD";"[""Synthetic""]";"Dash";"Hong Kong Dollar"
"DASH/ILS";"[""Synthetic""]";"Dash";"Israeli Shekel"
"DASH/INR";"[""Synthetic""]";"Dash";"Indian Rupee"
"DASH/JPY";"[""Synthetic""]";"Dash";"Japanese Yen"
"DASH/KRW";"[""Synthetic""]";"Dash";"Korean Won"
"DASH/MXN";"[""Synthetic""]";"Dash";"Mexican Peso"
"DASH/MYR";"[""Synthetic""]";"Dash";"Malaysian Ringgit"
"DASH/PLN";"[""BitBay"",""Synthetic""]";"Dash";"Polish Zloty"
"DASH/RUB";"[""Exmo"",""Synthetic""]";"Dash";"Russian Ruble"
"DASH/SAR";"[""Synthetic""]";"Dash";"Saudi Riyal"
"DASHS/BTC";"[""YoBit""]";"Dashs";"Bitcoin"
"DASH/SEK";"[""Synthetic""]";"Dash";"Swedish Krona"
"DASHS/USD";"[""Synthetic""]";"Dashs";"US Dollar"
"DASH/TRY";"[""Bitci.com"",""BTCTurk"",""Koinim"",""Synthetic""]";"Dash";"Turkish Lira"
"DASH/USD";"[""Binance"",""Huobi"",""OKEx"",""ZB.COM""]";"Dash";"US Dollar"
"DASH/VND";"[""Synthetic""]";"Dash";"Vietnamese Dong"
"DASH/ZAR";"[""Synthetic""]";"Dash";"South African Rand"
"DATA/BTC";"[""Binance"",""Bitfinex""]";"Streamr";"Bitcoin"
"DATA/ETH";"[""Gate.io""]";"Streamr DATAcoin";"Ethereum"
"DATA/USD";"[""Bitfinex"",""Gate.io""]";"Streamr DATAcoin";"US Dollar"
"DAT/BTC";"[""Huobi""]";"Datum";"Bitcoin"
"DAT/ETH";"[""Huobi""]";"Datum";"Ethereum"
"DAT/USD";"[""Synthetic""]";"Datum";"US Dollar"
"DAV/USD";"[""Synthetic""]";"DavorCoin";"US Dollar"
"DAX/IDR";"[""Indodax""]";"DAEX";"Indonesian Rupiah"
"DAX/USD";"[""Synthetic""]";"DAEX";"US Dollar"
"DAY/ETH";"[""HitBTC""]";"Chronologic";"Ethereum"
"DAY/USD";"[""Synthetic""]";"Chronologic";"US Dollar"
"DBC/BTC";"[""Huobi"",""Kucoin""]";"DeepBrain Chain";"Bitcoin"
"DBC/ETH";"[""Huobi"",""Kucoin""]";"DeepBrain Chain";"Ethereum"
"DBC/INR";"[""Bitbns""]";"DeepBrain Chain";"Indian Rupee"
"DBC/USD";"[""Gate.io""]";"DeepBrain Chain";"US Dollar"
"DBG/BTC";"[""YoBit""]";"Digital Bullion Gold";"Bitcoin"
"DBG/USD";"[""Synthetic""]";"Digital Bullion Gold";"US Dollar"
"DBIX/BTC";"[""HitBTC""]";"DubaiCoin";"Bitcoin"
"DBIX/USD";"[""Synthetic""]";"DubaiCoin";"US Dollar"
"D/BTC";"[""SouthXchange""]";"Denarius";"Bitcoin"
"DBTC/USD";"[""Synthetic""]";"Debitcoin";"US Dollar"
"DCC/USD";"[""Synthetic""]";"Distributed Credit Chain";"US Dollar"
"DCN/ETH";"[""HitBTC""]";"Dentacoin";"Ethereum"
"DCN/USD";"[""HitBTC""]";"Dentacoin";"US Dollar"
"DCR/BTC";"[""Binance"",""Bittrex""]";"Decred";"Bitcoin"
"DCRE/BTC";"[""YoBit""]";"DeltaCredits";"Bitcoin"
"DCRE/USD";"[""Synthetic""]";"DeltaCredits";"US Dollar"
"DCR/USD";"[""Binance"",""MXC"",""OKEx"",""Synthetic""]";"Decred";"US Dollar"
"DCT/BTC";"[""HitBTC""]";"DECENT";"Bitcoin"
"DCT/USD";"[""Synthetic""]";"DECENT";"US Dollar"
"DCY/BTC";"[""BTC-Alpha""]";"Dinastycoin";"Bitcoin"
"DCY/USD";"[""Synthetic""]";"Dinastycoin";"US Dollar"
"DDD/BTC";"[""Gate.io""]";"Scry.info";"Bitcoin"
"DDD/ETH";"[""Gate.io""]";"Scry.info";"Ethereum"
"DDD/USD";"[""Gate.io""]";"Scry.info";"US Dollar"
"DDF/USD";"[""Synthetic""]";"DigitalDevelopersFund";"US Dollar"
"DDK/BTC";"[""FinexBox"",""ProBit Exchange""]";"DDKoin";"Bitcoin"
"DDK/USD";"[""ProBit Exchange""]";"DDKoin";"US Dollar"
"DEEX/BTC";"[""BTC-Alpha""]";"DEEX";"Bitcoin"
"DEEX/USD";"[""BTC-Alpha""]";"DEEX";"US Dollar"
"DEM/BTC";"[""YoBit""]";"Deutsche eMark";"Bitcoin"
"DEM/USD";"[""Synthetic""]";"Deutsche eMark";"US Dollar"
"DENT/BTC";"[""Kucoin"",""Upbit""]";"Dent";"Bitcoin"
"DENT/ETH";"[""Binance"",""Kucoin""]";"Dent";"Ethereum"
"DENT/INR";"[""Bitbns""]";"Dent";"Indian Rupee"
"DENT/USD";"[""Binance"",""HitBTC""]";"Dent";"US Dollar"
"DERO/BTC";"[""TradeOgre""]";"Dero";"Bitcoin"
"DERO/USD";"[""Synthetic""]";"Dero";"US Dollar"
"DES/BTC";"[""YoBit""]";"Destiny";"Bitcoin"
"DES/USD";"[""Synthetic""]";"Destiny";"US Dollar"
"DEUS/USD";"[""Synthetic""]";"DeusCoin";"US Dollar"
"DFT/BTC";"[""YoBit""]";"DraftCoin";"Bitcoin"
"DFT/USD";"[""YoBit""]";"DraftCoin";"US Dollar"
"DGB/AUD";"[""Synthetic""]";"DigiByte";"Australian Dollar"
"DGB/BCH";"[""CoinEx""]";"DigiByte";"Bitcoin Cash"
"DGB/BRL";"[""NovaDAX""]";"DigiByte";"Brazil Real"
"DGB/BTC";"[""Bittrex"",""HitBTC"",""OKEx""]";"DigiByte";"Bitcoin"
"DGB/ETH";"[""Bittrex"",""HitBTC"",""Kucoin""]";"DigiByte";"Ethereum"
"DGB/TRY";"[""Bitci.com""]";"DigiByte";"Turkish Lira"
"DGB/USD";"[""Bittrex"",""OKEx""]";"DigiByte";"US Dollar"
"DGC/BTC";"[""FreiExchange""]";"Digitalcoin";"Bitcoin"
"DGCS/USD";"[""Synthetic""]";"Digital Credits";"US Dollar"
"DGC/USD";"[""Synthetic""]";"Digitalcoin";"US Dollar"
"DGD/BTC";"[""Bitrue"",""Huobi""]";"DigixDAO";"Bitcoin"
"DGD/ETH";"[""Huobi""]";"DigixDAO";"Ethereum"
"DGD/USD";"[""Synthetic""]";"DigixDAO";"US Dollar"
"DGTX/BTC";"[""Mercatox""]";"Digitex Futures";"Bitcoin"
"DGTX/ETH";"[""Mercatox""]";"Digitex Futures";"Ethereum"
"DGTX/USD";"[""Synthetic""]";"Digitex Futures";"US Dollar"
"DICE/ETH";"[""HitBTC""]";"Etheroll";"Ethereum"
"DICE/USD";"[""Synthetic""]";"Etheroll";"US Dollar"
"DIG/USD";"[""Livecoin""]";"Dignity";"US Dollar"
"DIME/USD";"[""YoBit""]";"Dimecoin";"US Dollar"
"DISK/USD";"[""Synthetic""]";"DarkLisk";"US Dollar"
"DIVI/BTC";"[""Bitrue""]";"Divi";"Bitcoin"
"DIVI/USD";"[""Synthetic""]";"Divi";"US Dollar"
"DIVI/XRP";"[""Bitrue""]";"Divi";"XRP"
"DLC/BTC";"[""YoBit""]";"Dollarcoin";"Bitcoin"
"DLC/USD";"[""Synthetic""]";"Dollarcoin";"US Dollar"
"DLISK/USD";"[""Synthetic""]";"DAPPSTER";"US Dollar"
"DLT/BTC";"[""Binance"",""YoBit""]";"Agrello";"Bitcoin"
"DLT/USD";"[""Synthetic""]";"Agrello";"US Dollar"
"DMB/BTC";"[""Crex24""]";"Digital Money Bits";"Bitcoin"
"DMB/USD";"[""Synthetic""]";"Digital Money Bits";"US Dollar"
"DMG/ETH";"[""MXC""]";"DMM: Governance";"Ethereum"
"DMG/USD";"[""MXC"",""OKEx""]";"DMM: Governance";"US Dollar"
"DMT/BTC";"[""Bittrex""]";"DMarket";"Bitcoin"
"DMT/USD";"[""Synthetic""]";"DMarket";"US Dollar"
"DNR/USD";"[""Synthetic""]";"Denarius";"US Dollar"
"DNT/BTC";"[""Binance"",""Bittrex""]";"district0x";"Bitcoin"
"DNT/ETH";"[""Gate.io"",""Mercatox""]";"district0x";"Ethereum"
"DNT/USD";"[""Synthetic""]";"district0x";"US Dollar"
"DNT/XRP";"[""Bitrue""]";"district0x";"XRP"
"DOCK/BTC";"[""Binance"",""Kucoin""]";"Dock";"Bitcoin"
"DOCK/ETH";"[""Gate.io"",""Kucoin""]";"Dock";"Ethereum"
"DOCK/USD";"[""Binance"",""Gate.io""]";"Dock";"US Dollar"
"DOGE/AED";"[""Synthetic""]";"Dogecoin";"UAE Dirham"
"DOGE/AUD";"[""Binance""]";"Dogecoin";"Australian Dollar"
"DOGE/BRL";"[""Coingecko""]";"Dogecoin";"Brazil Real"
"DOGE/BTC";"[""Binance"",""Coinbase Pro""]";"Dogecoin";"Bitcoin"
"DOGE/BUSD";"[""Binance""]";"Dogecoin";"Binance USD"
"DOGE/CAD";"[""Synthetic""]";"Dogecoin";"Canadian Dollar"
"DOGE/CNY";"[""Synthetic""]";"Dogecoin";"Chinese Yuan"
"DOGE/ETH";"[""Bittrex"",""HitBTC"",""Huobi""]";"Dogecoin";"Ethereum"
"DOGE/EUR";"[""Binance"",""Coinbase Pro"",""Kraken""]";"Dogecoin";"Euro"
"DOGE/INR";"[""Bitbns""]";"Dogecoin";"Indian Rupee"
"DOGE/KRW";"[""Bithumb"",""Upbit""]";"Dogecoin";"Korean Won"
"DOGE/RUB";"[""Binance""]";"Dogecoin";"Russian Ruble"
"DOGE/TRY";"[""Binance"",""Bitexen"",""Paribu""]";"Dogecoin";"Turkish Lira"
"DOGE/USD";"[""Binance"",""Coinbase Pro"",""Huobi"",""ZB.COM""]";"Dogecoin";"US Dollar"
"DOLLAR/BTC";"[""Livecoin""]";"Dollar Online";"Bitcoin"
"DOLLAR/USD";"[""Synthetic""]";"Dollar Online";"US Dollar"
"DOPE/BTC";"[""Mercatox""]";"DopeCoin";"Bitcoin"
"DOPE/USD";"[""Synthetic""]";"DopeCoin";"US Dollar"
"DOT/USD";"[""Coinbase Pro""]";"Dotcoin";"US Dollar"
"DOV/BTC";"[""HitBTC""]";"Dovu";"Bitcoin"
"DOV/ETH";"[""HitBTC""]";"Dovu";"Ethereum"
"DOVU/USD";"[""Synthetic""]";"Dovu";"US Dollar"
"DP/USD";"[""Synthetic""]";"DigitalPrice";"US Dollar"
"DPY/ETH";"[""Gate.io""]";"Delphy";"Ethereum"
"DPY/USD";"[""Gate.io""]";"Delphy";"US Dollar"
"DREAM/BTC";"[""Liquid""]";"DreamTeam";"Bitcoin"
"DREAM/USD";"[""Synthetic""]";"DreamTeam";"US Dollar"
"DREP/BTC";"[""Binance""]";"DREP";"Bitcoin"
"DREP/USD";"[""Binance""]";"DREP";"US Dollar"
"DRG/BTC";"[""HitBTC""]";"Dragon Coins";"Bitcoin"
"DRG/ETH";"[""HitBTC""]";"Dragon Coins";"Ethereum"
"DRGN/BTC";"[""Kucoin""]";"Dragonchain";"Bitcoin"
"DRGN/ETH";"[""Gate.io"",""Kucoin""]";"Dragonchain";"Ethereum"
"DRGN/USD";"[""Gate.io""]";"Dragonchain";"US Dollar"
"DRG/USD";"[""Synthetic""]";"Dragon Coins";"US Dollar"
"DRM/BTC";"[""YoBit""]";"Dreamcoin";"Bitcoin"
"DRM/USD";"[""Synthetic""]";"Dreamcoin";"US Dollar"
"DROP/ETH";"[""BitMart""]";"Dropil";"Ethereum"
"DROP/USD";"[""Synthetic""]";"Dropil";"US Dollar"
"DRP/USD";"[""Synthetic""]";"DCORP";"US Dollar"
"DRS/USD";"[""Synthetic""]";"Digital Rupees";"US Dollar"
"DRT/BTC";"[""HitBTC"",""YoBit""]";"DomRaider";"Bitcoin"
"DRT/ETH";"[""HitBTC""]";"DomRaider";"Ethereum"
"DRT/USD";"[""HitBTC"",""Synthetic""]";"DomRaider";"US Dollar"
"DRXNE/USD";"[""Synthetic""]";"DROXNE";"US Dollar"
"DSR/BTC";"[""Mercatox""]";"Desire";"Bitcoin"
"DSR/USD";"[""Synthetic""]";"Desire";"US Dollar"
"DTA/BTC";"[""Huobi""]";"DATA";"Bitcoin"
"DTA/ETH";"[""Huobi""]";"DATA";"Ethereum"
"DTA/USD";"[""Huobi""]";"DATA";"US Dollar"
"DTB/USD";"[""Synthetic""]";"Databits";"US Dollar"
"DTEP/BTC";"[""Bitrue"",""Decoin""]";"DECOIN";"Bitcoin"
"DTEP/USD";"[""Synthetic""]";"DECOIN";"US Dollar"
"DUB/USD";"[""Synthetic""]";"Dubstep";"US Dollar"
"DUO/BTC";"[""YoBit""]";"ParallelCoin";"Bitcoin"
"DUO/DOGE";"[""YoBit""]";"ParallelCoin";"Dogecoin"
"DUO/ETH";"[""YoBit""]";"ParallelCoin";"Ethereum"
"DUO/USD";"[""Synthetic""]";"ParallelCoin";"US Dollar"
"DUSK/BTC";"[""Binance""]";"Dusk Network";"Bitcoin"
"DUSK/USD";"[""Binance"",""Gate.io""]";"Dusk Network";"US Dollar"
"DUTCH/USD";"[""Synthetic""]";"Dutch Coin";"US Dollar"
"DYDX/USD";"[""Binance"",""Huobi""]";"dYdX";"US Dollar"
"DYNMT/BTC";"[""Hotbit"",""Mercatox""]";"Dynamite";"Bitcoin"
"DYNMT/ETH";"[""Hotbit"",""Mercatox""]";"Dynamite";"Ethereum"
"DYNMT/USD";"[""Hotbit""]";"Dynamite";"US Dollar"
"DYN/USD";"[""Synthetic""]";"Dynamic";"US Dollar"
"EAC/BTC";"[""COINEGG""]";"EarthCoin";"Bitcoin"
"EAC/USD";"[""Synthetic""]";"EarthCoin";"US Dollar"
"EAGLE/USD";"[""Synthetic""]";"EagleCoin";"US Dollar"
"EBCH/USD";"[""Synthetic""]";"eBitcoinCash";"US Dollar"
"EBET/USD";"[""Synthetic""]";"EthBet";"US Dollar"
"EBST/BNB";"[""Binance DEX""]";"eBoost";"Binance Coin"
"EBST/USD";"[""Synthetic""]";"eBoost";"US Dollar"
"EBTC/ETH";"[""Mercatox""]";"eBitcoin";"Ethereum"
"EBTC/USD";"[""Synthetic""]";"eBitcoin";"US Dollar"
"EBT/USD";"[""Synthetic""]";"Ebittree Coin";"US Dollar"
"ECASH/BTC";"[""YoBit""]";"Ethereum Cash";"Bitcoin"
"ECASH/USD";"[""Synthetic""]";"Ethereum Cash";"US Dollar"
"ECA/USD";"[""Synthetic""]";"Electra";"US Dollar"
"ECC/BTC";"[""Crex24""]";"ECC";"Bitcoin"
"ECC/USD";"[""Synthetic""]";"ECC";"US Dollar"
"ECN/BTC";"[""YoBit""]";"E-coin";"Bitcoin"
"ECN/USD";"[""Synthetic""]";"E-coin";"US Dollar"
"ECOB/BTC";"[""YoBit""]";"Ecobit";"Bitcoin"
"ECO/BTC";"[""YoBit""]";"EcoCoin";"Bitcoin"
"ECOB/USD";"[""Synthetic""]";"Ecobit";"US Dollar"
"ECO/USD";"[""Synthetic""]";"EcoCoin";"US Dollar"
"ECTE/BTC";"[""p2pb2b""]";"EurocoinToken";"Bitcoin"
"ECTE/USD";"[""Synthetic""]";"EurocoinToken";"US Dollar"
"EDC/BTC";"[""Bit-Z"",""Exrates""]";"EDC Blockchain";"Bitcoin"
"EDC/USD";"[""Synthetic""]";"EDC Blockchain";"US Dollar"
"EDG/BTC";"[""Bittrex"",""HitBTC""]";"Edgeless";"Bitcoin"
"EDG/ETH";"[""HitBTC""]";"Edgeless";"Ethereum"
"EDG/USD";"[""HitBTC""]";"Edgeless";"US Dollar"
"EDO/BTC";"[""Bitfinex""]";"Eidoo";"Bitcoin"
"EDO/ETH";"[""Bitfinex""]";"Eidoo";"Ethereum"
"EDO/USD";"[""Bitfinex""]";"Eidoo";"US Dollar"
"EDRC/BTC";"[""YoBit""]";"EDRCoin";"Bitcoin"
"EDRC/USD";"[""Synthetic""]";"EDRCoin";"US Dollar"
"EDRL/BTC";"[""Hotbit""]";"Endor Protocol";"Bitcoin"
"EDRL/USD";"[""CoinTiger"",""Synthetic""]";"Endor Protocol";"US Dollar"
"EER/USD";"[""Synthetic""]";"Ethereum eRush";"US Dollar"
"EFI/ETH";"[""Gate.io""]";"Efinity Token";"Ethereum"
"EFI/USD";"[""Gate.io""]";"Efinity Token";"US Dollar"
"EGAS/USD";"[""Synthetic""]";"ETHGAS";"US Dollar"
"EGC/BTC";"[""Altilly""]";"EverGreenCoin";"Bitcoin"
"EGCr/USD";"[""PancakeSwap""]";"EverGrow Coin";"US Dollar"
"EGC/USD";"[""Synthetic""]";"EverGreenCoin";"US Dollar"
"EGG/USD";"[""Synthetic""]";"EggCoin";"US Dollar"
"EGLD/BNB";"[""Binance""]";"Elrond";"Binance Coin"
"EGLD/BTC";"[""Binance""]";"Elrond";"Bitcoin"
"EGLD/CAD";"[""Synthetic""]";"Elrond";"Canadian Dollar"
"EGLD/EUR";"[""Binance""]";"Elrond";"Euro"
"EGLD/INR";"[""Bitbns""]";"Elrond";"Indian Rupee"
"EGLD/USD";"[""Binance"",""Gate.io""]";"Elrond";"US Dollar"
"EGOLD/USD";"[""Synthetic""]";"eGold";"US Dollar"
"EGO/USD";"[""Synthetic""]";"EGO";"US Dollar"
"EGT/BTC";"[""Huobi"",""OKEx""]";"Egretia";"Bitcoin"
"EGT/ETH";"[""OKEx""]";"Egretia";"Ethereum"
"EGT/USD";"[""Huobi"",""OKEx"",""Synthetic""]";"Egretia";"US Dollar"
"EKT/BTC";"[""Huobi""]";"EDUCare";"Bitcoin"
"EKT/ETH";"[""Huobi""]";"EDUCare";"Ethereum"
"EKT/USD";"[""Huobi"",""Synthetic""]";"EDUCare";"US Dollar"
"ELA/BTC";"[""Huobi"",""Kucoin""]";"Elastos";"Bitcoin"
"ELA/ETH";"[""Huobi"",""Kucoin""]";"Elastos";"Ethereum"
"ELA/USD";"[""CoinEx"",""Huobi""]";"Elastos";"US Dollar"
"ELC/BTC";"[""YoBit""]";"Elacoin";"Bitcoin"
"ELC/USD";"[""Synthetic""]";"Elacoin";"US Dollar"
"ELEC/BTC";"[""HitBTC""]";"Electrify.Asia";"Bitcoin"
"ELEC/ETH";"[""Gate.io"",""HitBTC""]";"Electrify.Asia";"Ethereum"
"ELEC/USD";"[""Gate.io"",""HitBTC""]";"Electrify.Asia";"US Dollar"
"ELE/USD";"[""Synthetic""]";"Elementrem";"US Dollar"
"ELF/BTC";"[""Binance"",""OKEx""]";"aelf";"Bitcoin"
"ELF/ETH";"[""Binance"",""Huobi""]";"aelf";"Ethereum"
"ELF/USD";"[""Huobi"",""OKEx""]";"aelf";"US Dollar"
"ELITE/BTC";"[""YoBit""]";"Ethereum Lite";"Bitcoin"
"ELITE/USD";"[""Synthetic""]";"Ethereum Lite";"US Dollar"
"ELIX/USD";"[""Synthetic""]";"Elixir";"US Dollar"
"ELLA/USD";"[""Synthetic""]";"Ellaism";"US Dollar"
"ELON/USD";"[""Gate.io"",""Kucoin""]";"Dogelon Mars";"US Dollar"
"ELTC2/USD";"[""Synthetic""]";"eLTC";"US Dollar"
"ELTCOIN/ETH";"[""Mercatox""]";"ELTCOIN";"Ethereum"
"ELTCOIN/USD";"[""Synthetic""]";"ELTCOIN";"US Dollar"
"EL/USD";"[""Livecoin""]";"Elcoin";"US Dollar"
"ELYTE/USD";"[""Synthetic""]";"ETHEREUM LYTE";"US Dollar"
"EMC2/BTC";"[""Bittrex""]";"Einsteinium";"Bitcoin"
"EMC2/USD";"[""Synthetic""]";"Einsteinium";"US Dollar"
"EMD/BTC";"[""Graviex""]";"Emerald Crypto";"Bitcoin"
"EMD/USD";"[""Synthetic""]";"Emerald Crypto";"US Dollar"
"EMV/USD";"[""Synthetic""]";"Ethereum Movie Venture";"US Dollar"
"ENG/BTC";"[""Bittrex"",""Mercatox""]";"Enigma";"Bitcoin"
"ENG/ETH";"[""Bittrex"",""Mercatox""]";"Enigma";"Ethereum"
"ENG/USD";"[""Synthetic""]";"Enigma";"US Dollar"
"ENJ/BRL";"[""Binance""]";"Enjin Coin";"Brazil Real"
"ENJ/BTC";"[""Binance"",""HitBTC""]";"Enjin coin";"Bitcoin"
"ENJ/CAD";"[""Synthetic""]";"Enjin Coin";"Canadian Dollar"
"ENJ/ETH";"[""Binance"",""Kucoin""]";"Enjin coin";"Ethereum"
"ENJ/INR";"[""Bitbns""]";"Enjin Coin";"Indian Rupee"
"ENJ/KRW";"[""Bithumb"",""Upbit""]";"Enjin Coin";"Korean Won"
"ENJ/TRY";"[""Binance""]";"Enjin Coin";"Turkish Lira"
"ENJ/USD";"[""Binance"",""HitBTC""]";"Enjin Coin";"US Dollar"
"ENRG/BTC";"[""Crex24""]";"Energycoin";"Bitcoin"
"ENRG/USD";"[""Synthetic""]";"Energycoin";"US Dollar"
"ENS/USD";"[""Coinbase Pro""]";"Ethereum Name Service";"US Dollar"
"ENT/BTC";"[""YoBit""]";"Eternity";"Bitcoin"
"ENT/USD";"[""Synthetic""]";"Eternity";"US Dollar"
"EOS/AUD";"[""Synthetic""]";"EOS";"Australian Dollar"
"EOS/BCH";"[""CoinEx""]";"EOS";"Bitcoin Cash"
"EOS/BNB";"[""Binance""]";"EOS";"Binance Coin"
"EOS/BRL";"[""NovaDAX""]";"EOS";"Brazil Real"
"EOS/BTC";"[""Bibox"",""Coinbene"",""Huobi""]";"EOS";"Bitcoin"
"EOS/CAD";"[""Synthetic""]";"EOS";"Canadian Dollar"
"EOS/CNY";"[""Synthetic""]";"EOS";"Chinese Yuan"
"EOSDAC/BTC";"[""Hotbit""]";"eosDAC";"Bitcoin"
"EOSDAC/ETH";"[""Gate.io"",""Hotbit""]";"eosDAC";"Ethereum"
"EOSDAC/USD";"[""Gate.io"",""Synthetic""]";"eosDAC";"US Dollar"
"EOS/ETH";"[""Bibox"",""Binance"",""BitMart""]";"EOS";"Ethereum"
"EOS/EUR";"[""Kraken"",""Synthetic""]";"EOS";"Euro"
"EOS/GBP";"[""Bitfinex""]";"EOS";"British Pound"
"EOS/HKD";"[""Synthetic""]";"EOS";"Hong Kong Dollar"
"EOS/ILS";"[""Synthetic""]";"EOS";"Israeli Shekel"
"EOS/INR";"[""Bitbns"",""Synthetic""]";"EOS";"Indian Rupee"
"EOS/KRW";"[""Bithumb"",""Upbit""]";"EOS";"Korean Won"
"EOS/MXN";"[""Synthetic""]";"EOS";"Mexican Peso"
"EOS/MYR";"[""Synthetic""]";"EOS";"Malaysian Ringgit"
"EOS/PLN";"[""Synthetic""]";"EOS";"Polish Zloty"
"EOS/RUB";"[""Synthetic""]";"EOS";"Russian Ruble"
"EOS/SAR";"[""Synthetic""]";"EOS";"Saudi Riyal"
"EOS/SEK";"[""Synthetic""]";"EOS";"Swedish Krona"
"EOS/TRY";"[""BTCTurk"",""Paribu"",""Synthetic""]";"EOS";"Turkish Lira"
"EOS/USD";"[""Binance"",""Coinbene"",""Huobi""]";"EOS";"US Dollar"
"EOS/VND";"[""Synthetic""]";"EOS";"Vietnamese Dong"
"EOS/ZAR";"[""Synthetic""]";"EOS";"South African Rand"
"EPS/BTC";"[""Binance""]";"Ellipsis";"Bitcoin"
